GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph70_1_7;181.24057459831238;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph60_2_43;15889.059449672699;None;None;0;infeasible;92;100;60;2
data_Graph70_0_7;156.84318780899048;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph70_2_7;818.1829364299774;None;None;0;infeasible;93;100;70;2
data_Graph40_0_79;53.2360417842865;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph40_1_79;61.950209856033325;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph60_0_7;82.34807467460632;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph50_0_17;69.33998918533325;3.0;3.0;0.0;optimal;92;100;50;0
data_Graph50_1_17;16037.136112689972;3.0;3.0;0.0;optimal;91;100;50;1
data_Graph50_1_43;58.5510356426239;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph70_2_7;687.2643706798553;None;None;0;infeasible;93;100;70;2
data_Graph90_1_7;1258.9090855121613;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph90_0_7;266.0128140449524;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph90_1_43;1457.8424549102783;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph60_2_79;2964.08975148201;None;None;0;infeasible;92;100;60;2
data_Graph60_0_41;146.50646090507507;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph40_0_41;48.680065631866455;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph80_2_79;827.7962851524353;None;None;0;infeasible;94;100;80;2
data_Graph70_2_17;432.74625277519226;None;None;0;infeasible;92;100;70;2
data_Graph40_1_17;53.16826415061951;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph50_2_17;306.03911781311035;None;None;0;infeasible;90;100;50;2
data_Graph70_2_17;964.4646468162537;None;None;0;infeasible;92;100;70;2
data_Graph40_0_41;43.87305927276611;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph90_1_79;390.1514163017273;None;None;0;infeasible;95;100;90;1
data_Graph80_0_7;26892.043102502823;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph80_2_7;830.7122313976288;None;None;0;infeasible;93;100;80;2
data_Graph60_1_17;224.9477665424347;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph50_2_79;251.31556940078735;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph60_1_17;76.20935583114624;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph80_0_41;5754.433949947357;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph60_0_7;78.18549990653992;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph60_2_79;1062.0794022083282;None;None;0;infeasible;92;100;60;2
data_Graph60_1_7;117.4346673488617;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph70_0_43;168.31470131874084;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_2_17;397.35209369659424;None;None;0;infeasible;94;100;90;2
data_Graph70_1_43;177.3221685886383;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph60_2_7;129834.44402480125;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph40_2_17;47.41692304611206;3.0;3.0;0.0;optimal;90;100;40;2
data_Graph80_1_7;3689.386161327362;None;None;0;infeasible;94;100;80;1
data_Graph50_1_79;61.16809296607971;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph80_1_79;4455.4934623241425;3.0;3.0;0.0;optimal;95;100;80;1
data_Graph80_0_79;234.32117819786072;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph50_0_43;64.40199780464172;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph90_1_17;403.78923654556274;None;None;0;infeasible;95;100;90;1
data_Graph90_0_17;575.9838907718658;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph90_2_7;681.0061645507812;None;None;0;infeasible;95;100;90;2
data_Graph70_0_41;132.59583854675293;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph70_1_41;129.6496810913086;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph90_0_43;262.31317591667175;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph70_2_43;480.40713334083557;None;None;0;infeasible;93;100;70;2
data_Graph60_1_43;67.0070481300354;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph70_0_43;171.77279663085938;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph40_1_41;54.327800273895264;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph50_1_7;7108.298942565918;5.0;5.0;0.0;optimal;91;100;50;1
data_Graph60_0_17;141.5472812652588;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph60_2_41;221.9351348876953;3.0;3.0;0.0;optimal;92;100;60;2
data_Graph90_0_79;434.70497822761536;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph90_2_79;416.29403495788574;None;None;0;infeasible;94;100;90;2
data_Graph80_1_41;728.8338146209717;None;None;0;infeasible;94;100;80;1
data_Graph50_0_79;70.9544575214386;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph50_0_7;62.40550112724304;3.0;3.0;0.0;optimal;92;100;50;0
data_Graph80_2_17;637.7970387935638;None;None;0;infeasible;94;100;80;2
data_Graph80_0_17;244.95885825157166;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph70_0_79;155.2698199748993;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_2_41;346.8963973522186;None;None;0;infeasible;95;100;90;2
