GRAPH,TIME(s),LOWER BOUND,UPPER BOUND,GAP,TERMINATION CONDITION,CAPACITY,LENGTH
data_Graph90_1_6,3931.4332404136658,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_1,4757.143441200256,None,None,0,infeasible,95,100
data_Graph90_1_0,6522.854669570923,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_9,7251.06881737709,5.0,5.0,0.0,optimal,96,100
data_Graph90_0_19,11355.456719398499,3.0,3.0,0.0,optimal,96,100
data_Graph90_1_10,18050.69300532341,3.0,3.0,0.0,optimal,96,100


data_Graph70_0_0,98.1679892539978,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_18,107.08569049835205,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_15,106.50538206100464,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_17,112.88628029823303,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_2,123.26274466514587,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_4,122.83102869987488,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_16,119.75364995002747,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_13,140.67677998542786,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_14,139.890807390213,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_19,150.03512454032898,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_11,159.91344118118286,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_10,160.2418704032898,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_12,179.92593050003052,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_1,175.90746021270752,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_3,175.94287633895874,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_6,123.46300959587097,3.0,3.0,0.0,optimal,95,100
data_Graph70_0_5,155.31073904037476,3.0,3.0,0.0,optimal,95,100
data_Graph70_1_15,107.88343048095703,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_10,155.96025443077087,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_7,172.2142734527588,3.0,3.0,0.0,optimal,95,100
data_Graph70_1_13,141.946692943573,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_8,182.71535897254944,3.0,3.0,0.0,optimal,95,100
data_Graph70_1_14,150.7860517501831,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_16,137.6533567905426,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_12,176.57798266410828,3.0,3.0,0.0,optimal,94,100
data_Graph70_0_9,300.2193012237549,3.0,3.0,0.0,optimal,95,100
data_Graph70_1_19,153.9892716407776,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_4,110.46138191223145,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_2,118.7635440826416,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_1,149.09089159965515,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_6,133.53588271141052,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_11,418.92805004119873,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_5,144.29438614845276,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_3,166.8675355911255,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_0,455.33296060562134,None,None,0,infeasible,93,100
data_Graph70_1_7,187.63489365577698,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_17,474.4717752933502,None,None,0,infeasible,93,100
data_Graph70_1_8,346.576908826828,3.0,3.0,0.0,optimal,94,100
data_Graph70_1_18,1240.1356317996979,None,None,0,infeasible,93,100


data_Graph10_0_15,14.45282530784607,3.0,3.0,0.0,optimal,76,100
data_Graph10_0_10,13.391373872756958,3.0,3.0,0.0,optimal,74,100
data_Graph10_0_13,15.520736694335938,3.0,3.0,0.0,optimal,74,100
data_Graph10_0_12,15.545565366744995,3.0,3.0,0.0,optimal,72,100
data_Graph10_0_0,15.489206314086914,3.0,3.0,0.0,optimal,78,100
data_Graph10_0_14,15.918572902679443,3.0,3.0,0.0,optimal,75,100
data_Graph10_0_11,18.548152446746826,3.0,3.0,0.0,optimal,75,100
data_Graph10_0_16,14.390058517456055,3.0,3.0,0.0,optimal,75,100
data_Graph10_0_17,13.893940210342407,3.0,3.0,0.0,optimal,74,100
data_Graph10_0_18,15.977283716201782,3.0,3.0,0.0,optimal,75,100
data_Graph10_0_19,14.57239556312561,3.0,3.0,0.0,optimal,74,100
data_Graph10_0_2,15.437424421310425,3.0,3.0,0.0,optimal,75,100
data_Graph10_0_1,15.560280323028564,3.0,3.0,0.0,optimal,73,100
data_Graph10_0_3,14.878089189529419,3.0,3.0,0.0,optimal,76,100
data_Graph10_0_5,14.725960731506348,3.0,3.0,0.0,optimal,77,100
data_Graph10_0_4,17.184123754501343,3.0,3.0,0.0,optimal,74,100
data_Graph10_0_6,14.946611881256104,3.0,3.0,0.0,optimal,78,100
data_Graph10_0_7,15.134813785552979,3.0,3.0,0.0,optimal,77,100
data_Graph10_0_8,14.869382858276367,3.0,3.0,0.0,optimal,72,100
data_Graph10_0_9,17.073803186416626,3.0,3.0,0.0,optimal,76,100
data_Graph10_1_0,15.431503534317017,3.0,3.0,0.0,optimal,77,100
data_Graph10_1_10,13.656423330307007,3.0,3.0,0.0,optimal,73,100
data_Graph10_1_11,15.964981079101562,3.0,3.0,0.0,optimal,74,100
data_Graph10_1_14,14.515671968460083,3.0,3.0,0.0,optimal,74,100
data_Graph10_1_13,20.53992533683777,3.0,3.0,0.0,optimal,73,100
data_Graph10_1_15,14.921554565429688,3.0,3.0,0.0,optimal,75,100
data_Graph10_1_12,23.551249742507935,3.000000000000003,3.0,-3.1086244689504383e-15,optimal,71,100
data_Graph10_1_16,15.16239070892334,3.0,3.0,0.0,optimal,74,100
data_Graph10_1_17,14.195584535598755,3.0,3.0,0.0,optimal,73,100
data_Graph10_1_18,14.986961841583252,3.0,3.0,0.0,optimal,74,100
data_Graph10_1_19,14.502920627593994,3.0,3.0,0.0,optimal,73,100
data_Graph10_1_2,14.8284752368927,3.0,3.0,0.0,optimal,74,100
data_Graph10_1_3,14.596489429473877,3.0,3.0,0.0,optimal,75,100
data_Graph10_1_4,16.68780279159546,3.0,3.0,0.0,optimal,73,100
data_Graph10_1_5,15.221571922302246,3.0,3.0,0.0,optimal,76,100
data_Graph10_1_7,14.982004165649414,3.0,3.0,0.0,optimal,76,100
data_Graph10_1_6,15.840075016021729,3.0,3.0,0.0,optimal,77,100
data_Graph10_1_9,17.265482187271118,3.0,3.0,0.0,optimal,75,100
data_Graph10_2_0,15.721956491470337,3.0,3.0,0.0,optimal,76,100
data_Graph10_2_10,13.405407428741455,3.0,3.0,0.0,optimal,72,100
data_Graph10_2_14,15.528267860412598,3.0,3.0,0.0,optimal,73,100
data_Graph10_2_13,22.976632595062256,3.0000000000000036,3.0,-3.552713678800501e-15,optimal,72,100
data_Graph10_2_15,14.273858547210693,3.0,3.0,0.0,optimal,74,100
data_Graph10_2_11,57.23863220214844,3.0,3.0,0.0,optimal,73,100
data_Graph10_2_17,14.092403650283813,3.0,3.0,0.0,optimal,72,100
data_Graph10_2_12,77.19709753990173,5.0,5.0,0.0,optimal,70,100
data_Graph10_2_18,16.48517870903015,3.0,3.0,0.0,optimal,73,100
data_Graph10_2_16,39.270448446273804,3.0,3.0,0.0,optimal,73,100
data_Graph10_2_19,16.352813005447388,3.0,3.0,0.0,optimal,72,100
data_Graph10_2_2,15.427553176879883,3.0,3.0,0.0,optimal,73,100
data_Graph10_2_3,14.316985845565796,3.0,3.0,0.0,optimal,74,100
data_Graph10_2_5,13.966313600540161,3.0,3.0,0.0,optimal,75,100
data_Graph10_2_6,19.00964069366455,3.0,3.0,0.0,optimal,76,100
data_Graph10_1_1,236.4842290878296,3.0,3.0,0.0,optimal,72,100
data_Graph10_2_7,15.109532833099365,3.0,3.0,0.0,optimal,75,100
data_Graph10_2_4,87.08554530143738,3.000000000000004,3.0,-3.9968028886505635e-15,optimal,72,100
data_Graph10_2_9,19.781511783599854,3.0,3.0,0.0,optimal,74,100
data_Graph20_0_10,27.827877044677734,3.0,3.0,0.0,optimal,83,100
data_Graph20_0_0,24.98619842529297,3.0,3.0,0.0,optimal,85,100
data_Graph20_0_11,26.334984064102173,3.0,3.0,0.0,optimal,85,100
data_Graph20_0_12,36.50200295448303,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_13,29.69297432899475,3.0,3.0,0.0,optimal,83,100
data_Graph20_0_14,28.710481882095337,3.0,3.0,0.0,optimal,86,100
data_Graph20_0_15,29.245270252227783,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_16,34.07434368133545,3.0,3.0,0.0,optimal,83,100
data_Graph20_0_17,28.921024799346924,3.0,3.0,0.0,optimal,85,100
data_Graph20_0_18,29.947675228118896,3.0,3.0,0.0,optimal,85,100
data_Graph20_0_19,29.906768083572388,3.0,3.0,0.0,optimal,84,100
data_Graph10_1_8,461.60715436935425,3.0,3.0,0.0,optimal,71,100
data_Graph20_0_2,28.431314945220947,3.0,3.0,0.0,optimal,83,100
data_Graph20_0_3,29.665350914001465,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_5,27.699216604232788,3.0,3.0,0.0,optimal,86,100
data_Graph20_0_4,46.14177227020264,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_6,30.70468759536743,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_7,31.778432607650757,3.0,3.0,0.0,optimal,85,100
data_Graph10_2_1,443.81988859176636,3.0,3.0,0.0,optimal,71,100
data_Graph20_1_10,24.808006286621094,3.0,3.0,0.0,optimal,82,100
data_Graph20_1_0,43.93015098571777,3.0,3.0,0.0,optimal,84,100
data_Graph10_2_8,438.67155408859253,5.0,5.0,0.0,optimal,70,100
data_Graph20_1_11,28.58122491836548,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_8,77.80901026725769,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_9,88.10203266143799,3.0,3.0,0.0,optimal,82,100
data_Graph20_1_12,26.691527128219604,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_14,27.367042779922485,3.0,3.0,0.0,optimal,85,100
data_Graph20_1_15,27.598639488220215,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_16,31.608968496322632,3.0,3.0,0.0,optimal,82,100
data_Graph20_1_17,28.125343084335327,3.0,3.0,0.0,optimal,84,100
data_Graph20_1_13,62.866939067840576,3.0,3.0,0.0,optimal,82,100
data_Graph20_1_18,36.33961582183838,3.0,3.0,0.0,optimal,84,100
data_Graph20_1_4,26.122231483459473,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_5,29.142488479614258,3.0,3.0,0.0,optimal,85,100
data_Graph20_1_19,87.04099416732788,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_3,81.84898900985718,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_6,28.66125178337097,3.0,3.0,0.0,optimal,83,100
data_Graph20_1_7,33.90574860572815,3.0,3.0,0.0,optimal,84,100
data_Graph20_1_8,29.687620878219604,3.0,3.0,0.0,optimal,83,100
data_Graph20_2_0,31.314732313156128,3.0,3.0,0.0,optimal,83,100
data_Graph20_2_11,29.591747045516968,3.0,3.0,0.0,optimal,83,100
data_Graph20_2_12,69.72445249557495,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_14,30.24347162246704,3.0,3.0,0.0,optimal,84,100
data_Graph20_0_1,759.0903160572052,3.0,3.0,0.0,optimal,81,100
data_Graph20_2_15,33.48442769050598,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_17,27.520506620407104,3.0,3.0,0.0,optimal,83,100
data_Graph20_2_18,23.918823719024658,3.0,3.0,0.0,optimal,83,100
data_Graph20_2_16,134.12868762016296,3.0,3.0,0.0,optimal,81,100
data_Graph20_2_10,543.419180393219,3.0,3.0,0.0,optimal,81,100
data_Graph20_1_2,885.0181932449341,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_3,27.21807336807251,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_4,91.87998938560486,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_5,70.75806379318237,3.0,3.0,0.0,optimal,84,100
data_Graph20_2_6,28.470089435577393,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_8,115.23406028747559,3.0,3.0,0.0,optimal,82,100
data_Graph20_2_7,254.00671291351318,3.0,3.0,0.0,optimal,83,100
data_Graph30_0_0,42.512309312820435,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_10,62.622331380844116,3.0,3.0,0.0,optimal,88,100
data_Graph20_2_13,1529.1299393177032,3.0,3.0,0.0,optimal,81,100
data_Graph30_0_12,36.11715316772461,3.0,3.0,0.0,optimal,87,100
data_Graph30_0_11,40.70915389060974,3.0,3.0,0.0,optimal,88,100
data_Graph30_0_14,33.250234603881836,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_13,39.27905631065369,3.0,3.0,0.0,optimal,88,100
data_Graph20_2_2,1214.2932841777802,3.0,3.0,0.0,optimal,81,100
data_Graph30_0_15,41.81233620643616,3.0,3.0,0.0,optimal,88,100
data_Graph20_1_1,2041.5163140296936,5.0,5.0,0.0,optimal,80,100
data_Graph20_2_19,1434.1424221992493,3.0,3.0,0.0,optimal,82,100
data_Graph30_0_17,36.07291269302368,3.0,3.0,0.0,optimal,88,100
data_Graph30_0_16,46.67689371109009,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_19,50.1443555355072,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_2,40.284400939941406,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_18,120.27317237854004,3.0,3.0,0.0,optimal,87,100
data_Graph30_0_3,38.50593280792236,3.0,3.0,0.0,optimal,88,100
data_Graph30_0_4,45.8653404712677,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_5,37.46532440185547,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_6,42.967888832092285,3.0,3.0,0.0,optimal,89,100
data_Graph30_0_7,34.13024640083313,3.0,3.0,0.0,optimal,88,100
data_Graph30_0_8,38.483686208724976,3.0,3.0,0.0,optimal,87,100
data_Graph30_0_9,47.81086993217468,3.0,3.0,0.0,optimal,89,100
data_Graph30_1_0,43.00484919548035,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_13,38.46301198005676,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_10,106.59210300445557,3.0,3.0,0.0,optimal,87,100
data_Graph20_1_9,2279.0957787036896,3.0,3.0,0.0,optimal,81,100
data_Graph30_1_14,47.70369005203247,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_11,113.86616158485413,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_16,40.93163537979126,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_17,41.092692852020264,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_19,39.60215449333191,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_15,126.11222267150879,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_2,34.59331488609314,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_3,38.052201986312866,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_4,41.66898441314697,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_5,48.18608331680298,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_6,49.11153173446655,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_9,46.64798283576965,3.0,3.0,0.0,optimal,88,100
data_Graph30_1_7,113.42989182472229,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_0,37.18872570991516,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_12,680.1086332798004,3.0,3.0,0.0,optimal,86,100
data_Graph20_2_1,2353.4521901607513,None,None,0,infeasible,79,100
data_Graph30_2_11,40.58140587806702,3.0,3.0,0.0,optimal,86,100
data_Graph30_1_18,544.3950729370117,3.0,3.0,0.0,optimal,86,100
data_Graph30_2_14,42.14354991912842,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_16,40.98257541656494,3.0,3.0,0.0,optimal,87,100
data_Graph30_0_1,1669.7883763313293,3.0,3.0,0.0,optimal,86,100
data_Graph20_2_9,2312.7905089855194,5.0,5.0,0.0,optimal,80,100
data_Graph30_2_12,967.0645833015442,5.0,5.0,0.0,optimal,85,100
data_Graph30_2_15,945.2362101078033,3.0,3.0,0.0,optimal,86,100
data_Graph30_2_19,102.29568719863892,3.0,3.0,0.0,optimal,87,100
data_Graph30_1_8,1327.8369121551514,3.0,3.0,0.0,optimal,86,100
data_Graph30_2_2,37.033764600753784,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_4,40.24097037315369,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_5,39.546125650405884,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_6,34.888019323349,3.0,3.0,0.0,optimal,87,100
data_Graph30_2_10,1393.2489755153656,3.0,3.0,0.0,optimal,86,100
data_Graph30_2_9,41.00476384162903,3.0,3.0,0.0,optimal,87,100
data_Graph40_0_0,51.33252310752869,3.0,3.0,0.0,optimal,91,100
data_Graph30_2_17,1280.8248703479767,3.0,3.0,0.0,optimal,86,100
data_Graph30_2_3,477.9407696723938,3.0,3.0,0.0,optimal,86,100
data_Graph40_0_10,51.127540826797485,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_11,61.017584562301636,3.0,3.0,0.0,optimal,92,100
data_Graph40_0_12,52.446757078170776,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_13,59.49289393424988,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_14,61.43308615684509,3.0,3.0,0.0,optimal,92,100
data_Graph40_0_15,54.385746240615845,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_16,62.89411926269531,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_17,50.58503198623657,3.0,3.0,0.0,optimal,92,100
data_Graph40_0_18,56.69700026512146,3.0,3.0,0.0,optimal,90,100
data_Graph40_0_19,59.82447171211243,3.0,3.0,0.0,optimal,90,100
data_Graph40_0_1,46.46877861022949,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_2,44.67307114601135,3.0,3.0,0.0,optimal,91,100
data_Graph30_2_8,784.1550705432892,None,None,0,infeasible,85,100
data_Graph40_0_3,64.2182765007019,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_4,51.62782049179077,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_5,49.7310106754303,3.0,3.0,0.0,optimal,92,100
data_Graph40_0_6,53.9853777885437,3.0,3.0,0.0,optimal,90,100
data_Graph40_0_7,61.33454132080078,3.0,3.0,0.0,optimal,91,100
data_Graph40_0_8,57.70811629295349,3.0,3.0,0.0,optimal,90,100
data_Graph40_1_0,47.12358808517456,3.0,3.0,0.0,optimal,90,100
data_Graph40_0_9,57.464123010635376,3.0,3.0,0.0,optimal,92,100
data_Graph30_2_13,2355.9941926002502,3.0,3.0,0.0,optimal,86,100
data_Graph40_1_10,49.38404202461243,3.0,3.0,0.0,optimal,90,100
data_Graph40_1_11,57.837889671325684,3.0,3.0,0.0,optimal,91,100
data_Graph40_1_12,49.953426361083984,3.0,3.0,0.0,optimal,90,100
data_Graph40_1_13,52.60242772102356,3.0,3.0,0.0,optimal,90,100
data_Graph40_1_14,56.81439256668091,3.0,3.0,0.0,optimal,91,100
data_Graph40_1_15,54.42310547828674,3.0,3.0,0.0,optimal,90,100
data_Graph30_2_1,1538.7416486740112,None,None,0,infeasible,84,100
data_Graph40_1_17,50.789175271987915,3.0,3.0,0.0,optimal,91,100
