GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph70_2_17;418.1972301006317;None;None;0;infeasible;92;100;70;2
data_Graph70_2_17;534.9429023265839;None;None;0;infeasible;92;100;70;2
data_Graph70_2_17;968.8729770183563;None;None;0;infeasible;92;100;70;2
data_Graph70_2_41;719.6244711875916;5.0;5.0;0.0;optimal;93;100;70;2
data_Graph70_2_43;491.48052287101746;None;None;0;infeasible;93;100;70;2
data_Graph60_2_43;19232.897782087326;None;None;0;infeasible;92;100;60;2
data_Graph70_2_43;523.0046555995941;None;None;0;infeasible;93;100;70;2
data_Graph70_2_79;539.8664040565491;None;None;0;infeasible;93;100;70;2
data_Graph70_2_43;2102.6452639102936;None;None;0;infeasible;93;100;70;2
data_Graph70_2_79;539.379243850708;None;None;0;infeasible;93;100;70;2
data_Graph70_2_79;708.0042533874512;None;None;0;infeasible;93;100;70;2
data_Graph70_2_7;688.9897775650024;None;None;0;infeasible;93;100;70;2
data_Graph50_2_41;30748.73753976822;5.0;5.0;0.0;optimal;91;100;50;2
